class,cap-shape,cap-surface,cap-color,odor,gill-color,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-type,spore-print-color,population,habitat,b0,b1,ga0,ga1,gs0,gs1,gsz0,gsz1,ss0,ss1,rn0,rn1,rn2
1,5,2,9,2,4,e,3,3,8,8,3,4,6,3,2,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,5,2,6,3,4,c,3,3,8,8,3,4,7,2,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,2,2,5,4,8,c,3,3,8,8,3,4,7,2,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,5,3,5,2,8,e,3,3,8,8,3,4,6,3,2,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,5,2,8,8,4,e,3,3,8,8,3,3,7,1,5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0,5,3,6,3,8,c,3,3,8,8,3,4,6,2,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,2,2,5,3,7,c,3,3,8,8,3,4,6,2,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,2,3,5,4,8,c,3,3,8,8,3,4,7,3,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,5,3,5,2,10,e,3,3,8,8,3,4,6,5,5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,2,2,6,3,7,c,3,3,8,8,3,4,6,3,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,5,3,6,4,7,c,3,3,8,8,3,4,7,2,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,5,3,6,3,8,c,3,3,8,8,3,4,6,3,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,2,2,6,3,9,c,3,3,8,8,3,4,7,3,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,5,3,5,2,4,e,3,3,8,8,3,4,7,5,2,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,5,1,9,8,8,e,3,1,8,8,3,3,6,1,5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0,1,1,8,8,4,e,3,3,8,8,3,4,7,4,2,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,4,1,5,8,4,e,3,3,8,8,3,3,7,1,5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1,5,2,9,2,8,e,3,3,8,8,3,4,6,3,5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,5,3,5,2,8,e,3,3,8,8,3,4,7,3,2,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,5,2,9,2,4,e,3,3,8,8,3,4,7,3,2,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,2,2,6,3,4,c,3,3,8,8,3,4,7,3,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,5,3,9,2,8,e,3,3,8,8,3,4,7,5,5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,2,3,6,4,4,c,3,3,8,8,3,4,7,3,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,2,3,5,3,9,c,3,3,8,8,3,4,7,2,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,2,2,5,4,7,c,3,3,8,8,3,4,6,3,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
